Epoch 035 | Mean reward: -0.014086 | Sharpe: -5.71 | MDD: 25.13% | Turnover: 0.5560 | Entropy: 0.0200 | Policy loss: -0.000005 | Value loss: 2.808038
Epoch 036 | Mean reward: -0.003893 | Sharpe: -1.33 | MDD: 6.32% | Turnover: 0.5662 | Entropy: 0.0232 | Policy loss: -0.000214 | Value loss: 2.247107
Epoch 037 | Mean reward: -0.009440 | Sharpe: -3.67 | MDD: 16.88% | Turnover: 0.5644 | Entropy: 0.0185 | Policy loss: 0.000056 | Value loss: 1.986654
Epoch 038 | Mean reward: -0.007668 | Sharpe: -2.49 | MDD: 19.50% | Turnover: 0.5553 | Entropy: 0.0240 | Policy loss: 0.000023 | Value loss: 2.142227
Epoch 039 | Mean reward: -0.009981 | Sharpe: -3.89 | MDD: 18.82% | Turnover: 0.5639 | Entropy: 0.0208 | Policy loss: -0.000178 | Value loss: 2.658985
Epoch 040 | Mean reward: -0.012878 | Sharpe: -6.20 | MDD: 21.07% | Turnover: 0.5599 | Entropy: 0.0204 | Policy loss: 0.000084 | Value loss: 3.467731
Epoch 041 | Mean reward: -0.014864 | Sharpe: -7.57 | MDD: 24.70% | Turnover: 0.5588 | Entropy: 0.0216 | Policy loss: 0.000227 | Value loss: 4.882106
Epoch 042 | Mean reward: -0.010417 | Sharpe: -3.75 | MDD: 17.45% | Turnover: 0.5664 | Entropy: 0.0228 | Policy loss: 0.000027 | Value loss: 6.872108
Epoch 043 | Mean reward: -0.012518 | Sharpe: -4.53 | MDD: 24.23% | Turnover: 0.5569 | Entropy: 0.0190 | Policy loss: 0.000034 | Value loss: 7.500155
Epoch 044 | Mean reward: -0.014473 | Sharpe: -7.04 | MDD: 23.87% | Turnover: 0.5620 | Entropy: 0.0190 | Policy loss: 0.000110 | Value loss: 5.454182
Epoch 045 | Mean reward: -0.017927 | Sharpe: -6.48 | MDD: 29.08% | Turnover: 0.5540 | Entropy: 0.0226 | Policy loss: -0.000072 | Value loss: 2.979505
Epoch 046 | Mean reward: -0.014350 | Sharpe: -6.14 | MDD: 23.97% | Turnover: 0.5675 | Entropy: 0.0258 | Policy loss: -0.000072 | Value loss: 1.554027
Epoch 047 | Mean reward: -0.008160 | Sharpe: -3.06 | MDD: 14.41% | Turnover: 0.5657 | Entropy: 0.0221 | Policy loss: 0.000163 | Value loss: 0.753775
Epoch 048 | Mean reward: -0.013465 | Sharpe: -4.64 | MDD: 22.88% | Turnover: 0.5654 | Entropy: 0.0203 | Policy loss: -0.000073 | Value loss: 0.247016
Epoch 049 | Mean reward: -0.003634 | Sharpe: -1.08 | MDD: 7.19% | Turnover: 0.5699 | Entropy: 0.0242 | Policy loss: 0.000142 | Value loss: 0.057286
Epoch 050 | Mean reward: -0.010353 | Sharpe: -4.07 | MDD: 17.63% | Turnover: 0.5629 | Entropy: 0.0212 | Policy loss: -0.000005 | Value loss: 0.002279
Epoch 051 | Mean reward: -0.014131 | Sharpe: -7.42 | MDD: 23.60% | Turnover: 0.5617 | Entropy: 0.0209 | Policy loss: -0.000078 | Value loss: 0.012083
Epoch 052 | Mean reward: -0.011340 | Sharpe: -5.04 | MDD: 19.32% | Turnover: 0.5605 | Entropy: 0.0218 | Policy loss: -0.000050 | Value loss: 0.012028
Epoch 053 | Mean reward: -0.012600 | Sharpe: -4.25 | MDD: 21.29% | Turnover: 0.5674 | Entropy: 0.0196 | Policy loss: 0.000108 | Value loss: 0.003554
Epoch 054 | Mean reward: -0.009221 | Sharpe: -2.75 | MDD: 19.02% | Turnover: 0.5748 | Entropy: 0.0238 | Policy loss: -0.000028 | Value loss: 0.008094
Epoch 055 | Mean reward: -0.014344 | Sharpe: -7.58 | MDD: 24.45% | Turnover: 0.5643 | Entropy: 0.0208 | Policy loss: -0.000067 | Value loss: 0.023229
Epoch 056 | Mean reward: -0.016804 | Sharpe: -6.22 | MDD: 26.60% | Turnover: 0.5736 | Entropy: 0.0266 | Policy loss: 0.000086 | Value loss: 0.050345
Epoch 057 | Mean reward: -0.010822 | Sharpe: -4.71 | MDD: 18.16% | Turnover: 0.5593 | Entropy: 0.0206 | Policy loss: -0.000092 | Value loss: 0.094957
Epoch 058 | Mean reward: -0.019579 | Sharpe: -7.06 | MDD: 29.87% | Turnover: 0.5765 | Entropy: 0.0226 | Policy loss: -0.000040 | Value loss: 0.123615
Epoch 059 | Mean reward: -0.013135 | Sharpe: -5.98 | MDD: 23.00% | Turnover: 0.5669 | Entropy: 0.0226 | Policy loss: 0.000039 | Value loss: 0.173779
Epoch 060 | Mean reward: -0.009277 | Sharpe: -3.15 | MDD: 18.78% | Turnover: 0.5730 | Entropy: 0.0225 | Policy loss: -0.000029 | Value loss: 0.220019
Epoch 061 | Mean reward: -0.013027 | Sharpe: -4.82 | MDD: 24.14% | Turnover: 0.5690 | Entropy: 0.0215 | Policy loss: -0.000084 | Value loss: 0.217936
Epoch 062 | Mean reward: -0.014235 | Sharpe: -7.61 | MDD: 23.82% | Turnover: 0.5711 | Entropy: 0.0253 | Policy loss: -0.000016 | Value loss: 0.168066
Epoch 063 | Mean reward: -0.015201 | Sharpe: -6.08 | MDD: 24.21% | Turnover: 0.5667 | Entropy: 0.0213 | Policy loss: -0.000186 | Value loss: 0.113450
Epoch 064 | Mean reward: -0.015000 | Sharpe: -6.44 | MDD: 25.23% | Turnover: 0.5720 | Entropy: 0.0264 | Policy loss: -0.000046 | Value loss: 0.061715
Epoch 065 | Mean reward: -0.016167 | Sharpe: -5.48 | MDD: 27.75% | Turnover: 0.5616 | Entropy: 0.0222 | Policy loss: -0.000091 | Value loss: 0.026631
Epoch 066 | Mean reward: -0.008573 | Sharpe: -3.44 | MDD: 16.30% | Turnover: 0.5626 | Entropy: 0.0252 | Policy loss: -0.000052 | Value loss: 0.006049
Epoch 067 | Mean reward: -0.007430 | Sharpe: -2.61 | MDD: 10.96% | Turnover: 0.5651 | Entropy: 0.0222 | Policy loss: -0.000098 | Value loss: 0.005911
