Epoch,Mean reward,Sharpe,MDD,Turnover,Entropy,Policy loss,Value loss
0,-0.01244917,-4.588875088978806,0.232951,0.5616393,0.023495495319366455,-0.0,1.3107114
1,0.0013717148,0.42663832942216845,0.058436465,0.55905974,0.01967562362551689,-4.768372e-10,0.18275468
2,-0.016539752,-5.442285795202326,0.28496426,0.5587673,0.023375440388917923,-7.1525574e-10,0.41064566
3,-0.009319728,-3.787072701979669,0.19839728,0.56801206,0.02099166251718998,-0.0,0.13527234
4,-0.018621022,-7.050687426030308,0.29813388,0.55083376,0.01754155196249485,2.384186e-10,0.14071672
5,-0.0061611626,-2.509543853644447,0.11949769,0.56523466,0.017824983224272728,4.768372e-10,0.16691332
6,-0.00930234,-3.2748380630799163,0.12889011,0.56068945,0.0183571670204401,2.384186e-10,0.21904282
7,-0.014035655,-5.924971463950931,0.2132585,0.5626565,0.02154477685689926,2.384186e-10,0.5527916
8,-0.0055084974,-2.217533791809381,0.13531843,0.56138533,0.020901383832097054,4.768372e-10,0.2766287
9,-0.01658384,-7.9730266915704116,0.25445268,0.56346804,0.02332335337996483,4.768372e-10,0.4206254
10,-0.012770189,-5.310069172080085,0.20296228,0.57632154,0.02326645702123642,-0.0,0.49626952
11,-0.013236794,-4.5237961536952085,0.22168972,0.56564045,0.023076623678207397,2.384186e-10,0.406238
12,-0.008294133,-3.165420620371214,0.14413536,0.5652947,0.02028590813279152,-2.384186e-10,0.45007843
13,-0.011974585,-4.912337672271818,0.21306434,0.558636,0.022113541141152382,4.768372e-10,0.4974307
14,-0.007973564,-2.4219339133917415,0.14641254,0.5659878,0.0222772229462862,2.384186e-10,0.5221006
15,-0.014093662,-5.963619076680976,0.22365981,0.55734617,0.021568570286035538,4.768372e-10,0.5530497
16,-0.011602393,-5.2802787225106,0.19301844,0.56274533,0.021795369684696198,4.768372e-10,0.5363299
17,-0.011901796,-4.912229556583921,0.19200236,0.54990786,0.0237626601010561,2.384186e-10,0.64607185
18,-0.01612258,-5.952157555741203,0.28495055,0.55538243,0.019724909216165543,4.768372e-10,0.7257571
19,-0.011946323,-4.749336996339787,0.20763496,0.56025136,0.020411180332303047,-4.768372e-10,0.7584666
20,-0.013130275,-7.414318361226959,0.21988164,0.5646685,0.022479016333818436,4.768372e-10,0.7739462
21,-0.012627499,-5.326247345275662,0.19305618,0.5642012,0.02364613674581051,2.384186e-10,0.85598105
22,-0.0112996,-3.597354869220934,0.21604611,0.56753206,0.0225681122392416,4.768372e-10,0.92415315
23,-0.0127895055,-5.394889339705791,0.21557888,0.56588954,0.02669471502304077,4.768372e-10,0.9296439
24,-0.014423366,-5.254910456682089,0.24784623,0.56584185,0.02209169790148735,2.384186e-10,0.9700011
25,-0.005237245,-2.4454852631948256,0.10605776,0.5666463,0.024194752797484398,2.384186e-10,0.9945327
26,-0.012137027,-4.595394142888665,0.20498228,0.55799854,0.02593141794204712,-2.384186e-10,1.007672
27,-0.011784255,-4.658023433256987,0.2142652,0.56253934,0.021572794765233994,-0.0,1.1173415
28,-0.004122564,-1.5453267791249672,0.08732076,0.56438524,0.019302964210510254,-2.384186e-10,0.9983471
29,-0.016030699,-6.753769199991953,0.271157,0.5676386,0.024793673306703568,-0.0,1.1341301
30,-0.01017824,-4.10186240519014,0.1753673,0.56465816,0.023745540529489517,-2.384186e-10,1.1865873
31,-0.006917227,-2.5425060629012703,0.14519747,0.57437384,0.025133345276117325,-2.384186e-10,1.1930977
32,-0.012144628,-4.927649633292991,0.20320238,0.5619175,0.021616440266370773,4.768372e-10,1.2289717
33,-0.009059325,-3.609416183259567,0.14417735,0.56295377,0.021786198019981384,2.384186e-10,1.289607
34,-0.011142721,-4.02984218004011,0.2172232,0.57026595,0.022056911140680313,-4.768372e-10,1.3220205
35,-0.008734002,-2.9761543795917222,0.17481948,0.5676985,0.021072283387184143,4.768372e-10,1.3086431
36,-0.013068387,-6.050330114999705,0.2246548,0.56225944,0.02109082043170929,-0.0,1.452101
37,-0.010348485,-4.4303558386881114,0.20729549,0.5654635,0.02482501044869423,-0.0,1.4974481
38,-0.009581389,-3.872564724554693,0.15811327,0.57246196,0.022079382091760635,-0.0,1.3887646
39,-0.01147089,-4.324794764264758,0.20384799,0.56006527,0.020668543875217438,-2.384186e-10,1.3676071
40,-0.015360361,-5.939445574671889,0.24862602,0.5653291,0.023622648790478706,7.1525574e-10,1.3459725
41,-0.01531108,-5.2499716936843965,0.23167014,0.5549202,0.023154787719249725,-4.768372e-10,1.4706838
42,-0.011910939,-4.494120350701905,0.2180189,0.57180065,0.02527536079287529,4.768372e-10,1.5237423
43,-0.0116465185,-4.720392673073657,0.21907827,0.55647504,0.020095571875572205,-0.0,1.4009074
44,-0.018947471,-7.261826392890823,0.29532334,0.5690109,0.02432246319949627,-0.0,1.146327
